time_step,agent_id,x,y,sugar,vision,metabolism,age,max_age
0,0,31,25,12.316718427000254,3,4,1,96
0,1,39,37,21.6,5,1,1,89
0,2,16,27,5.8951650607479955,6,2,1,61
0,3,29,26,14.27970589825291,2,2,1,89
0,4,10,17,5.922967038573098,6,4,1,76
0,5,2,8,13.845934077146199,5,2,1,71
0,6,41,32,8.71937515251343,2,2,1,63
0,7,2,23,21.026786250536297,2,4,1,79
0,8,37,10,10.0,5,1,1,89
0,9,28,16,17.70151549950587,2,1,1,94
0,10,2,1,4.026786250536299,2,4,1,93
0,11,40,12,4.0,4,1,1,74
0,12,34,39,7.278889744907202,6,3,1,94
0,13,8,21,5.03022843964078,4,4,1,82
0,14,35,5,14.0,1,3,1,72
0,15,41,42,6.719375152513431,2,1,1,99
0,16,38,49,19.59168108424154,5,3,1,67
0,17,9,15,10.151471862576143,5,1,1,71
0,18,32,34,19.83380962103094,1,1,1,89
0,19,49,43,11.316718427000252,3,3,1,94
0,20,3,37,12.0,4,1,1,66
0,21,4,16,8.211145618000169,5,1,1,67
0,22,34,38,10.367544467966324,3,2,1,94
0,23,14,23,13.76393202250021,3,2,1,78
0,24,34,3,12.0,1,1,1,79
0,25,5,22,20.55868887685326,6,2,1,94
0,26,41,24,12.27970589825291,3,3,1,90
0,27,43,15,21.0,1,3,1,88
0,28,37,48,6.800000000000001,3,3,1,61
0,29,38,7,18.0,6,3,1,77
0,30,12,29,6.6,3,4,1,79
0,31,45,30,6.87397083745307,1,1,1,97
0,32,4,13,10.38754845034029,5,2,1,87
0,33,14,36,21.0,3,4,1,93
0,34,12,9,25.4,6,3,1,83
0,35,34,40,21.151471862576145,1,1,1,98
0,36,35,12,5.0,2,4,1,79
0,37,3,16,9.03022843964078,2,1,1,68
0,38,47,30,17.55868887685326,5,1,1,69
0,39,22,23,9.026786250536299,3,2,1,85
0,40,11,8,12.175378874876468,4,2,1,68
0,41,18,25,7.13643578734473,4,1,1,100
0,42,18,22,2.66761924206188,5,4,1,76
0,43,1,19,15.392319037918941,4,4,1,88
0,44,16,20,15.211145618000167,2,4,1,67
0,45,19,5,18.020101012677667,5,2,1,67
0,46,6,44,19.0,3,4,1,75
0,47,21,19,17.719649149801725,6,2,1,74
0,48,11,12,27.8,2,1,1,62
0,49,36,10,9.0,3,2,1,78
0,50,7,38,16.0,4,1,1,79
0,51,33,29,11.211145618000169,6,1,1,68
0,52,19,3,22.719649149801725,2,2,1,98
0,53,14,16,15.105572809000083,3,3,1,78
0,54,7,11,20.980196097281443,6,4,1,72
0,55,7,44,4.0,5,2,1,97
0,56,36,18,20.19474048191191,1,4,1,71
0,57,34,37,10.4,6,2,1,68
0,58,6,21,21.836669234721604,1,1,1,73
0,59,38,41,18.17537887487647,2,1,1,77
0,60,29,32,5.11320377358868,1,4,1,97
0,61,28,24,5.837722339831621,2,1,1,81
0,62,18,7,21.43795006481867,1,3,1,90
0,63,48,34,5.719649149801724,5,1,1,99
0,64,43,34,18.658359213500127,5,2,1,83
0,65,16,12,12.2,4,4,1,88
0,66,9,7,11.833809621030941,4,1,1,61
0,67,36,25,16.59168108424154,4,4,1,72
0,68,44,8,13.0,5,4,1,61
0,69,24,15,21.526136624629405,3,2,1,84
0,70,15,12,21.4,5,2,1,60
0,71,40,25,6.5261366246294035,6,2,1,63
0,72,42,34,23.83380962103094,4,1,1,65
0,73,17,0,20.4,2,3,1,89
0,74,27,36,12.990024875775823,2,4,1,65
0,75,26,6,2.953690757654437,2,3,1,61
0,76,38,30,26.585786437626904,4,1,1,65
0,77,31,44,18.15609110854142,4,3,1,63
0,78,38,25,19.59168108424154,3,4,1,83
0,79,36,13,17.0,4,4,1,96
0,80,41,31,12.557779489814404,5,4,1,66
0,81,34,49,19.526136624629405,3,3,1,77
0,82,15,15,27.151471862576145,3,1,1,86
0,83,3,15,10.102633403898972,6,4,1,97
0,84,27,47,20.17157287525381,4,4,1,86
0,85,32,28,7.940873971802599,5,2,1,61
0,86,16,9,5.0,5,4,1,95
0,87,14,12,15.600000000000001,2,4,1,85
0,88,16,2,9.845934077146199,2,4,1,91
0,89,18,16,16.557779489814404,1,3,1,82
0,90,27,39,13.960392194562885,6,2,1,92
0,91,19,22,16.55868887685326,4,4,1,94
0,92,0,10,24.566894987880712,2,1,1,81
0,93,3,19,9.719649149801725,6,3,1,62
0,94,27,30,4.55868887685326,1,4,1,70
0,95,11,21,10.188922972372517,4,3,1,61
0,96,4,40,11.0,3,1,1,69
0,97,41,29,11.211145618000169,5,2,1,86
0,98,6,42,12.0,3,3,1,69
0,99,8,15,26.0,4,2,1,80
10,0,34,36,0.3935803452814728,3,4,11,96
10,1,38,39,44.23431457505077,5,1,11,89
10,2,8,8,15.80107767477401,6,2,11,61
10,3,35,32,18.980984655266855,2,2,11,89
10,5,6,10,23.001498397166284,5,2,11,71
10,6,42,35,18.599610593416187,2,2,11,63
10,7,7,12,4.658677416435289,2,4,11,79
10,8,11,12,21.263446008490714,5,1,11,89
10,9,15,13,31.267956750052505,2,1,11,94
10,12,35,40,9.280243833904468,6,3,11,94
10,15,40,41,26.32574536522668,2,1,11,99
10,16,39,33,20.945011989834768,5,3,11,67
10,17,10,15,30.93593441648343,5,1,11,71
10,18,34,32,37.28427224119196,1,1,11,89
10,19,37,41,9.11469060037427,3,3,11,94
10,20,35,34,29.563643591221798,4,1,11,66
10,21,8,15,29.823017864688858,5,1,11,67
10,22,41,40,22.376870590022772,3,2,11,94
10,23,6,12,22.386751465071278,3,2,11,78
10,24,32,3,2.0,1,1,11,79
10,25,13,12,31.5060787559773,6,2,11,94
10,26,40,33,10.23256357825283,3,3,11,90
10,28,32,35,6.63483109571213,3,3,11,61
10,31,41,32,21.397109483556854,1,1,11,97
10,32,10,8,21.27410924884908,5,2,11,87
10,34,10,12,27.339887384050847,6,3,11,83
10,35,37,37,39.78500705500048,1,1,11,98
10,37,8,16,27.405252992136706,2,1,11,68
10,38,35,41,37.26676367101792,5,1,11,69
10,39,15,16,13.535944734808567,3,2,11,85
10,40,16,13,22.94562786641066,4,2,11,68
10,41,18,12,23.496569100904985,4,1,11,100
10,43,9,12,3.7578945795253507,4,4,11,88
10,44,10,17,2.883328991719231,2,4,11,67
10,45,12,15,29.75567522349619,5,2,11,67
10,47,14,10,27.87538427353614,6,2,11,74
10,48,12,9,48.74883343693263,2,1,11,62
10,50,7,38,6.0,4,1,11,79
10,51,41,38,33.055826428424666,6,1,11,68
10,52,13,9,29.858710154463502,2,2,11,98
10,53,14,8,15.375516501025508,3,3,11,78
10,54,16,9,12.445681867719632,6,4,11,72
10,57,38,34,22.46008063036817,6,2,11,68
10,58,6,17,36.65055652843485,1,1,11,73
10,59,41,36,39.57714066877383,2,1,11,77
10,61,35,33,18.58206212619342,2,1,11,81
10,62,13,6,18.81671667932921,1,3,11,90
10,63,39,41,25.329477030410427,5,1,11,99
10,64,35,35,30.042821767407418,5,2,11,83
10,65,12,12,2.724959708854543,4,4,11,88
10,66,5,12,30.901636744720772,4,1,11,61
10,67,43,35,5.9467770405373095,4,4,11,72
10,69,17,12,29.90746123204997,3,2,11,84
10,70,18,9,32.547379516440564,5,2,11,60
10,71,39,37,16.952040306095853,6,2,11,63
10,72,39,34,44.62103454101946,4,1,11,65
10,73,15,7,16.69008455809782,2,3,11,89
10,74,34,39,2.463285455955689,2,4,11,65
10,76,37,36,49.49232831834113,4,1,11,65
10,77,37,31,17.976699300084736,4,3,11,63
10,78,40,39,9.223137392743055,3,4,11,83
10,80,33,38,5.30736032379248,5,4,11,66
10,81,32,37,19.917010948842393,3,3,11,77
10,82,18,10,46.825853095361495,3,1,11,86
10,83,14,13,0.023362645409665816,6,4,11,97
10,84,36,36,8.603118010780626,4,4,11,86
10,85,41,34,17.62104710894862,5,2,11,61
10,87,13,14,6.669943692025425,2,4,11,85
10,89,11,17,14.699745817325947,1,3,11,82
10,90,33,41,25.03030390100733,6,2,11,92
10,91,14,15,5.04075844095669,4,4,11,94
10,92,9,9,41.53610090670228,2,1,11,81
10,93,8,9,8.87623822680608,6,3,11,62
10,95,10,7,11.87414124852559,4,3,11,61
10,96,46,42,4.3408739718026,3,1,11,69
10,97,37,38,22.083693490551344,5,2,11,86
10,99,9,16,37.413978680839854,4,2,11,80
20,1,36,38,64.23431457505077,5,1,21,89
20,2,12,15,25.80107767477401,6,2,21,61
20,3,32,39,28.506686079489366,2,2,21,89
20,5,10,17,32.924465435739386,5,2,21,71
20,6,38,35,27.532783620181288,2,2,21,63
20,8,15,8,41.88376643187064,5,1,21,89
20,9,13,15,49.914390962926035,2,1,21,94
20,12,39,40,9.974639039323403,6,3,21,94
20,15,39,41,45.01272531164464,2,1,21,99
20,16,35,34,21.326340505874434,5,3,21,67
20,17,14,12,51.488720820983474,5,1,21,71
20,18,33,33,54.32339249761713,1,1,21,89
20,19,36,42,8.886482886330338,3,3,21,94
20,20,36,35,49.963643591221796,4,1,21,66
20,21,9,11,50.16425707820019,5,1,21,67
20,22,37,42,32.55842077630148,3,2,21,94
20,23,11,16,31.110787250855964,3,2,21,78
20,25,14,7,42.81350834845768,6,2,21,94
20,26,41,37,10.840575158385377,3,3,21,90
20,28,34,36,7.177754438554922,3,3,21,61
20,31,37,32,38.618395246539286,1,1,21,97
20,32,12,8,31.449488123725544,5,2,21,87
20,34,9,8,27.766017558478488,6,3,21,83
20,35,39,35,51.78500705500048,1,1,21,98
20,37,8,12,45.680522778848584,2,1,21,68
20,38,41,38,58.41955007551796,5,1,21,69
20,39,11,15,23.362074909236206,3,2,21,85
20,40,17,11,32.71742015236673,4,2,21,68
20,41,14,15,43.260212692126785,4,1,21,100
20,45,10,16,40.55567522349619,5,2,21,67
20,47,14,10,39.301792913452076,6,2,21,74
20,48,8,9,68.09592452209478,2,1,21,62
20,51,39,39,53.42337089639099,6,1,21,68
20,52,16,12,36.8587101544635,2,2,21,98
20,53,17,12,14.340617886624422,3,3,21,78
20,54,15,12,3.1232313498078987,6,4,21,72
20,57,38,38,33.38041150283454,6,2,21,68
20,58,7,12,53.92220441850786,1,1,21,73
20,59,42,36,58.43171503366103,2,1,21,77
20,61,32,36,38.265257207255154,2,1,21,81
20,62,11,8,17.602059836278556,1,3,21,90
20,63,33,40,45.36430812612256,5,1,21,99
20,64,35,38,40.842821767407415,5,2,21,83
20,66,10,15,50.76631292725488,4,1,21,61
20,69,15,14,39.644433988935454,3,2,21,84
20,70,13,13,42.10056428998493,5,2,21,60
20,71,39,33,27.31958477406218,6,2,21,63
20,72,40,34,64.62103454101947,4,1,21,65
20,73,11,11,16.613051596670918,2,3,21,89
20,76,34,33,69.6677071932176,4,1,21,65
20,77,33,39,18.120538988587974,4,3,21,63
20,81,33,35,20.197962632718944,3,3,21,77
20,82,16,11,66.61744928403613,3,1,21,86
20,85,41,41,27.46387821815175,5,2,21,61
20,89,12,18,12.504892876993846,1,3,21,82
20,90,36,41,35.2056827758838,6,2,21,92
20,92,13,10,60.53610090670228,2,1,21,81
20,93,10,13,9.540409455320367,6,3,21,62
20,95,5,12,10.542770398627113,4,3,21,61
20,96,35,41,23.215368043301627,3,1,21,69
20,97,40,33,33.823580874602186,5,2,21,86
20,99,12,11,48.17791070334007,4,2,21,80
30,1,34,34,84.75728161362387,5,1,31,89
30,2,8,11,36.34096505882486,6,2,31,61
30,3,33,41,37.385133455851744,2,2,31,89
30,5,14,13,43.747195532264854,5,2,31,71
30,6,42,37,35.512979717462734,2,2,31,63
30,8,10,8,61.823148861901664,5,1,31,89
30,9,16,14,69.502395265541,2,1,31,94
30,12,38,38,9.954835136604846,6,3,31,94
30,15,40,40,64.99292140892608,2,1,31,99
30,16,39,36,21.326340505874434,5,3,31,67
30,17,11,12,73.82860820503431,5,1,31,71
30,18,32,36,74.1944779110759,1,1,31,89
30,19,32,38,8.534298225673663,3,3,31,94
30,20,38,37,71.23358728324722,4,1,31,66
30,21,12,12,70.68327340874265,5,1,31,67
30,22,35,41,43.21359093402964,3,2,31,94
30,23,16,15,40.88257953681203,3,2,31,78
30,25,9,10,54.21350834845768,6,2,31,94
30,26,40,34,10.763542196958475,3,3,31,90
30,28,34,35,7.512673795071423,3,3,31,61
30,31,35,32,57.32788465410291,1,1,31,97
30,32,13,11,41.449488123725544,5,2,31,87
30,34,13,10,28.753118538029295,6,3,31,83
30,35,40,36,65.78500705500048,1,1,31,98
30,37,13,16,65.44390595634,2,1,31,68
30,38,37,40,78.59492895039443,5,1,31,69
30,39,9,15,34.02624613775049,3,2,31,85
30,40,15,8,43.36385436524026,4,2,31,68
30,41,15,11,63.09402231315772,4,1,31,100
30,45,10,15,51.20210943636972,5,2,31,67
30,47,12,13,50.45457931795212,6,2,31,74
30,48,10,9,87.83318282229783,2,1,31,62
30,51,36,39,74.02708898242517,6,1,31,68
30,52,16,10,45.80905263628457,2,2,31,98
30,53,17,11,14.144761508886177,3,3,31,78
30,57,41,39,44.19228374952323,6,2,31,68
30,58,6,11,72.32268344856139,1,1,31,73
30,59,39,37,77.81191113094248,2,1,31,77
30,61,35,37,58.566237693662366,2,1,31,81
30,62,8,7,15.92075721428159,1,3,31,90
30,63,37,33,67.5170945306226,5,1,31,99
30,64,33,38,50.842821767407415,5,2,31,83
30,66,10,13,71.91330114734875,4,1,31,61
30,69,14,17,48.49036806608165,3,2,31,84
30,70,11,10,52.94906044182781,5,2,31,60
30,71,38,33,37.18647882158434,6,2,31,63
30,72,41,34,84.77061537499755,4,1,31,65
30,73,15,15,16.21305159667092,2,3,31,89
