time_step,population,avg_sugar,avg_age,total_born,total_died
1,100,15.593973179978136,1.0,100,0
2,100,15.493900040303862,2.0,100,0
3,99,15.839172611997954,3.0,100,1
4,98,16.261077096824682,4.0,100,2
5,95,16.98236354632771,5.0,100,5
6,93,17.61619212560759,6.0,100,7
7,91,18.394296703008084,7.0,100,9
8,91,18.81286432418069,8.0,100,9
9,90,19.422066130779378,9.0,100,10
10,90,19.853986449683635,10.0,100,10
11,86,21.255064274950342,11.0,100,14
12,86,21.780567570221418,12.0,100,14
13,86,22.311838997734714,13.0,100,14
14,84,23.38764487704081,14.0,100,16
15,82,24.56270076639124,15.0,100,18
16,81,25.50106248387517,16.0,100,19
17,81,26.123628750885658,17.0,100,19
18,80,27.061603930541935,17.775,101,21
19,78,28.515221940318597,18.76923076923077,101,23
20,78,29.221476093077865,19.512820512820515,102,24
21,77,30.39718728456092,20.506493506493506,102,25
22,76,31.64336192883259,21.5,102,26
23,74,33.414572921568514,22.486486486486488,102,28
24,74,34.27524907067874,23.16216216216216,103,29
25,73,35.68755153208983,24.15068493150685,103,30
26,74,36.14869938100602,24.81081081081081,104,30
27,74,37.10575063694457,25.445945945945947,105,31
28,74,38.10988673039976,26.445945945945947,105,31
29,76,38.009134351450285,26.723684210526315,107,31
30,78,37.93706604469998,27.012820512820515,109,31
31,82,36.971111479225414,26.646341463414632,113,31
32,83,37.44201857787408,27.313253012048193,114,31
33,84,37.902838342644806,27.976190476190474,115,31
34,84,38.827497842089876,28.976190476190474,115,31
35,85,39.263812228437416,29.623529411764707,116,31
36,86,39.69861889994247,30.267441860465116,117,31
37,89,39.20770198238764,30.213483146067414,120,31
38,89,40.16625091884137,31.213483146067414,120,31
39,89,41.11468696395649,32.21348314606742,120,31
40,90,41.58014655714623,32.84444444444444,121,31
41,92,41.582969682536216,33.108695652173914,123,31
42,93,42.105987229513275,33.74193548387097,124,31
43,93,43.09141343509805,34.74193548387097,124,31
44,95,43.12819101860417,34.98947368421052,126,31
45,97,43.186425008418766,35.24742268041237,128,31
46,98,43.68551249810095,35.87755102040816,129,31
47,99,44.175019144982976,36.505050505050505,130,31
48,99,45.100014579081844,37.505050505050505,130,31
49,100,45.59046536482519,38.12,131,31
50,104,44.690894303748195,37.61538461538461,135,31
51,108,43.940891068250544,37.18518518518518,139,31
52,109,44.48499008836237,37.8348623853211,140,31
53,112,44.23590156349376,37.794642857142854,143,31
54,113,44.80717810841142,38.45132743362832,144,31
55,117,44.17541898588383,38.1025641025641,148,31
56,118,44.71997007254807,38.29661016949152,150,32
57,120,44.88022783632447,38.641666666666666,152,32
58,121,45.43796969318772,39.31404958677686,153,32
59,124,45.25710570314984,39.33870967741935,156,32
60,121,46.61318608950756,39.85123966942149,156,35
61,124,46.37227099059183,39.37096774193548,160,36
62,122,46.385579106195166,38.49180327868852,163,41
63,124,46.472610935966024,38.346774193548384,166,42
64,125,47.07282774466243,39.032,167,42
65,124,47.30183571837168,38.78225806451613,169,45
66,124,48.106443789997996,39.25,170,46
67,125,48.69888038853279,39.928,171,46
68,127,48.9030594934397,39.74803149606299,174,47
69,125,48.587096055253845,39.744,175,50
70,129,47.97241365991953,39.48062015503876,179,50
71,130,48.57228824638492,39.62307692307692,181,51
72,128,48.200624145101656,39.0078125,183,55
73,130,47.386118417157775,38.26923076923077,187,57
74,130,48.36689385342193,38.7,188,58
75,128,49.11498137220595,39.1484375,188,60
76,128,49.77050216932418,38.9609375,190,62
77,131,49.697911438602226,39.045801526717554,193,62
78,132,50.342778437505075,39.74242424242424,194,62
79,131,51.300344452015445,40.45038167938932,194,63
80,132,50.228503696045486,39.31818181818182,198,66
81,129,50.01785663233976,38.89922480620155,199,70
82,129,51.065669248151586,39.89922480620155,199,70
83,127,51.74237231361899,39.58267716535433,200,73
84,125,52.13050827582412,39.216,201,76
85,127,51.59748590290872,38.24409448818898,205,78
86,121,51.477317378360596,36.925619834710744,205,84
87,125,50.886068779460985,36.712,209,84
88,128,49.12480839359758,35.59375,214,86
89,130,48.97744156364422,35.34615384615385,217,87
90,128,49.93488216555505,35.5078125,217,89
91,127,50.59338228642336,34.645669291338585,219,92
92,130,49.956033428357074,34.11538461538461,223,93
93,131,50.592928513328296,34.13740458015267,225,94
94,129,51.43898429918968,34.46511627906977,225,96
95,126,51.378153835577784,32.976190476190474,227,101
96,131,50.46198181431703,32.6793893129771,232,101
97,132,50.60024859999923,31.954545454545453,235,103
98,135,49.8310987143642,31.674074074074074,239,104
99,137,50.09617656817987,31.474452554744527,242,105
100,141,49.055871167918525,30.843971631205672,247,106
101,144,49.08847724807163,30.916666666666668,251,107
102,148,48.804237302618,31.054054054054053,255,107
103,148,49.87522170425527,31.56756756756757,256,108
104,150,50.15184608438712,31.64666666666667,259,109
105,151,49.7252218663879,31.516556291390728,262,111
106,151,50.18710240690275,32.05960264900662,263,112
107,155,49.87044814789275,32.20645161290322,267,112
108,155,50.26597377518544,32.76774193548387,268,113
109,161,49.368255149794486,32.50931677018634,274,113
110,166,48.2185248278113,32.15060240963855,280,114
111,168,48.58628468064138,32.75595238095238,282,114
112,169,48.331866730845576,32.65680473372781,285,116
113,169,48.02769472905302,32.69822485207101,287,118
114,170,48.706021005662265,33.5,288,118
115,172,49.077665487951954,33.75,291,119
116,173,49.16309911172094,34.04624277456647,293,120
117,176,49.24549009877009,34.44886363636363,296,120
118,177,49.5066548688547,34.86440677966102,298,121
119,176,49.07279500766074,34.74431818181818,300,124
120,178,49.00978620629778,34.86516853932584,303,125
121,182,48.31114861044483,34.362637362637365,309,127
122,184,48.70668320862229,34.97826086956522,311,127
123,186,48.856388295986136,34.693548387096776,315,129
124,191,48.486766891680944,34.75916230366492,320,129
125,193,48.267160683748216,34.54922279792746,324,131
126,197,48.02905531046211,34.49746192893401,329,132
127,198,48.170189664670076,34.464646464646464,332,134
128,196,49.06728463116133,34.566326530612244,333,137
129,201,48.70460752013835,34.681592039801,338,137
130,203,49.07084082835433,35.330049261083744,340,137
131,202,48.55666341807104,35.12376237623762,343,141
132,205,48.46506345084265,35.13170731707317,347,142
133,205,49.15323465825457,35.75609756097561,348,143
134,211,48.56030389633779,35.71090047393365,354,143
135,210,48.23311885009498,35.476190476190474,357,147
136,214,47.515797523146624,35.05140186915888,363,149
137,214,48.14742591050477,35.74766355140187,364,150
138,216,47.828260763568224,36.023148148148145,367,151
139,223,46.82482401538018,35.417040358744394,376,153
