time_step,population,avg_sugar,avg_age,total_born,total_died
1,50,15.27496380547258,1.0,50,0
2,50,15.382509185493618,2.0,50,0
3,50,15.83129047184274,3.0,50,0
4,48,17.10431008812145,4.0,50,2
5,48,17.841483513367546,5.0,50,2
6,48,18.698480501916805,6.0,50,2
7,48,19.62305507028407,7.0,50,2
8,46,21.50287490380369,8.0,50,4
9,46,22.517591109103247,9.0,50,4
10,46,23.599582125067183,10.0,50,4
11,46,24.68783920051816,11.0,50,4
12,46,25.76401858596364,11.73913043478261,51,5
13,45,27.41694368635801,12.733333333333333,51,6
14,45,28.611653748521835,13.733333333333333,51,6
15,44,30.487368136692375,14.727272727272727,51,7
16,44,31.782601971627127,15.727272727272727,51,7
17,44,32.974143608865184,16.727272727272727,51,7
18,44,34.225621070526664,17.727272727272727,51,7
19,44,35.453329422627,18.727272727272727,51,7
20,44,36.727255623547784,19.727272727272727,51,7
21,45,37.11336304815622,20.266666666666666,52,7
22,46,37.580068777445994,20.804347826086957,53,7
23,45,39.7555306559266,21.77777777777778,53,8
24,45,41.154145147991684,22.77777777777778,53,8
25,47,40.65947274047132,22.76595744680851,55,8
26,47,42.03477304788065,23.76595744680851,55,8
27,47,43.38640873489622,24.76595744680851,55,8
28,49,42.88600315232992,24.714285714285715,57,8
29,51,42.44442149919276,24.705882352941178,59,8
30,51,43.789749240851535,25.705882352941178,59,8
31,52,44.218840930942356,26.192307692307693,60,8
32,53,44.6402659045185,26.67924528301887,61,8
33,53,45.942458373991556,27.67924528301887,61,8
34,56,44.63983368365215,27.142857142857142,64,8
35,57,45.06992128795747,27.649122807017545,65,8
36,58,45.49862404429608,28.155172413793103,66,8
37,59,45.87199423167879,28.661016949152543,67,8
38,61,45.49596473593455,28.688524590163933,69,8
39,61,46.70158543400118,29.688524590163933,69,8
40,61,47.97241122937576,30.688524590163933,69,8
41,64,46.84861793683352,30.203125,72,8
42,66,46.604707444899184,30.257575757575758,74,8
43,68,46.40471388605459,30.33823529411765,76,8
44,69,46.89524231144532,30.884057971014492,77,8
45,70,47.39558571834185,31.428571428571427,78,8
46,71,47.89631950999541,31.971830985915492,79,8
47,71,49.05938608478605,32.971830985915496,79,8
48,72,49.55547210248247,33.5,80,8
49,72,50.733334150172155,34.5,80,8
50,74,50.48289857563134,34.54054054054054,82,8
51,77,49.580305697808164,34.15584415584416,85,8
52,79,49.459115433709016,34.265822784810126,87,8
53,81,49.37123795340581,34.39506172839506,89,8
54,83,49.25976836219451,34.54216867469879,91,8
55,85,49.24267348773243,34.705882352941174,93,8
56,86,49.77902378934013,35.2906976744186,94,8
57,86,50.90667420195574,36.2906976744186,94,8
58,86,52.03112901194278,37.2906976744186,94,8
59,86,53.19595322361558,38.2906976744186,94,8
60,85,51.66887243954535,36.92941176470588,97,12
61,85,52.798623083592204,37.92941176470588,97,12
62,86,53.2830617622537,38.47674418604651,98,12
63,86,53.73387806534077,38.74418604651163,99,13
64,86,54.19738575608255,39.0,100,14
65,86,54.97224619849249,39.24418604651163,101,15
66,84,54.752493747594656,38.845238095238095,102,18
67,84,54.149489957737636,38.25,104,20
68,86,54.01573813937079,38.33720930232558,106,20
69,86,55.03565089117455,38.53488372093023,107,21
70,86,55.580182476296685,38.72093023255814,108,22
71,87,56.10148910786884,39.264367816091955,109,22
72,87,54.75377146915741,38.60919540229885,111,24
73,87,53.32071290752841,37.0919540229885,114,27
74,90,52.00577399169864,36.0,118,28
75,90,53.128454967793225,37.0,118,28
76,89,53.44335021159756,36.71910112359551,119,30
77,90,53.25566007122693,36.577777777777776,121,31
78,92,53.172561234966985,36.76086956521739,123,31
79,94,53.13105333897316,36.95744680851064,125,31
80,94,53.95829098895332,37.1063829787234,126,32
81,94,55.12307501417532,38.1063829787234,126,32
82,94,55.822194925878016,38.234042553191486,127,33
83,98,54.61609479535373,37.63265306122449,131,33
84,97,55.36116778993982,36.43298969072165,133,36
85,95,57.083150399693956,36.43157894736842,133,38
86,98,56.51890111802392,36.285714285714285,136,38
87,100,56.582678199419476,36.54,138,38
88,98,56.491007884577506,35.61224489795919,139,41
89,97,57.316288015808915,36.07216494845361,139,42
90,95,57.728842472959236,36.22105263157895,139,44
91,99,55.96529687720802,35.16161616161616,144,45
92,101,56.050374449593235,35.445544554455445,146,45
93,104,53.001254763511426,33.23076923076923,152,48
94,102,53.06466414466614,31.862745098039216,154,52
95,103,53.764835579933,32.54368932038835,155,52
96,102,55.10274218859187,32.931372549019606,155,53
97,105,54.6585598942693,32.96190476190476,158,53
98,104,53.679467051927375,31.76923076923077,160,56
99,105,53.13415559566068,30.895238095238096,163,58
100,107,52.71520598787654,30.364485981308412,166,59
101,111,51.499276981949464,29.63063063063063,171,60
102,114,51.316679285348016,29.82456140350877,174,60
103,118,50.66248217937378,29.779661016949152,178,60
104,119,50.82400273835144,30.016806722689076,180,61
105,120,51.019775289712236,30.066666666666666,182,62
106,121,51.675228890637186,30.8099173553719,183,62
107,124,51.485348681609054,31.04032258064516,186,62
108,128,50.315160742220854,30.5859375,191,63
109,131,50.21014030204728,30.862595419847327,194,63
110,135,49.775210291347655,30.918518518518518,198,63
111,134,50.47017298660096,31.119402985074625,199,65
112,139,49.658697238880535,30.964028776978417,204,65
113,142,49.67758507622054,31.288732394366196,207,65
114,147,48.76867748541357,30.755102040816325,213,66
115,148,48.982968991147274,30.993243243243242,215,67
116,152,48.47699134271937,30.61842105263158,220,68
117,156,48.24596163873345,30.807692307692307,224,68
118,157,48.95837206314761,31.605095541401273,225,68
119,155,49.66782915338752,31.509677419354837,226,71
120,154,49.42076808408074,31.72077922077922,227,73
121,154,49.26981421389763,31.09090909090909,230,76
122,155,49.161114225679725,31.52258064516129,232,77
123,159,47.81240580723981,30.71698113207547,238,79
124,165,47.04340452354465,30.563636363636363,244,79
125,166,47.269545150879,30.566265060240966,247,81
126,166,47.358238943505256,30.656626506024097,249,83
127,166,47.93408460357297,30.66867469879518,251,85
128,168,48.18106663864616,30.857142857142858,254,86
129,170,48.06165260724386,30.96470588235294,257,87
130,171,48.776853082493986,31.77777777777778,258,87
131,172,49.47061801532766,32.58720930232558,259,87
132,174,49.89232294273052,33.201149425287355,261,87
133,174,50.91580284081235,34.201149425287355,261,87
134,178,50.71528236463709,34.41011235955056,265,87
135,180,50.869692834449445,34.56666666666667,268,88
136,181,51.165790350419776,34.86740331491713,270,89
137,184,50.549436091266216,33.80978260869565,276,92
138,183,51.02268171068887,34.032786885245905,277,94
139,185,50.904524210959615,33.68108108108108,281,96
140,186,51.004316734653855,33.564516129032256,284,98
141,190,50.88376022717412,33.83684210526316,288,98
142,193,50.69098541288097,33.97409326424871,292,99
143,196,50.74527474534988,34.066326530612244,296,100
144,200,49.943008225968825,33.735,302,102
145,202,50.33063080419799,34.39108910891089,304,102
146,205,50.079788272641785,34.06829268292683,309,104
147,207,50.210083588968914,34.5024154589372,312,105
148,210,50.33096091668223,34.99523809523809,315,105
149,211,49.90973491635232,34.77725118483412,319,108
150,217,49.35943277351193,34.78801843317972,325,108
151,223,48.83540402375531,34.66816143497758,332,109
152,227,48.399780904692705,34.63436123348018,337,110
153,228,49.01573522947908,35.478070175438596,338,110
154,232,48.747638710925585,35.52155172413793,343,111
155,236,48.75897112968343,35.902542372881356,347,111
156,239,48.61239467221908,36.12970711297071,351,112
157,239,48.62498628602632,36.05020920502092,354,115
158,240,48.94257330787014,36.24583333333333,357,117
159,238,49.163525676069746,36.214285714285715,359,121
160,241,48.99557835071335,36.51452282157676,363,122
161,243,48.94348215770581,36.50617283950617,367,124
162,244,49.5318099510978,37.14754098360656,369,125
163,247,49.69495877977507,37.68421052631579,372,125
164,245,49.47706199396714,37.375510204081635,375,130
