time_step,agent_id,x,y,sugar,vision,metabolism,age,max_age
0,2128,38,14,16.0,4,4,1,76
0,2129,34,15,21.0,1,2,1,73
0,2130,43,26,5.494007182771666,5,4,1,70
0,2131,42,40,23.83380962103094,5,1,1,73
0,2132,39,39,21.434314575050763,1,3,1,92
0,2133,8,39,21.0,6,1,1,89
0,2134,46,21,9.328488049862836,1,4,1,88
0,2135,31,29,4.0,3,3,1,94
0,2136,3,4,15.59168108424154,4,1,1,67
0,2137,2,44,11.0,2,2,1,90
0,2138,28,45,12.591681084241541,5,3,1,94
0,2139,26,6,3.953690757654437,2,3,1,78
0,2140,30,39,24.543978022143897,5,3,1,84
0,2141,44,46,8.719649149801725,5,1,1,93
0,2142,9,12,19.4,4,1,1,60
0,2143,19,7,20.279534946591475,5,3,1,85
0,2144,43,15,18.0,3,3,1,60
0,2145,18,39,20.17900536509144,6,2,1,73
0,2146,4,25,4.947132495505251,3,1,1,73
0,2147,5,35,24.0,2,1,1,72
0,2148,33,47,18.845934077146197,4,2,1,63
0,2149,25,4,19.94713249550525,1,2,1,64
0,2150,15,5,12.476845378827218,3,1,1,60
0,2151,31,34,21.658359213500127,4,2,1,74
0,2152,28,27,9.309275190585257,3,1,1,98
0,2153,39,9,19.0,1,3,1,99
0,2154,30,6,15.205266807797944,5,2,1,70
0,2155,18,5,16.15609110854142,3,4,1,88
0,2156,31,24,15.13643578734473,2,4,1,76
0,2157,18,29,10.39444872453601,1,1,1,76
0,2158,12,15,9.4,1,1,1,72
0,2159,13,14,8.552786404500042,2,1,1,88
0,2160,5,8,10.38754845034029,4,1,1,99
0,2161,10,12,15.600000000000001,5,3,1,80
0,2162,20,15,12.291199250936494,5,2,1,88
0,2163,36,37,12.8,6,2,1,96
0,2164,15,11,22.367544467966326,5,3,1,65
0,2165,6,27,19.7689011157193,4,2,1,66
0,2166,12,4,7.4,3,2,1,85
0,2167,24,31,8.13643578734473,4,3,1,69
0,2168,8,12,8.2,6,3,1,76
0,2169,20,25,10.947132495505251,2,2,1,67
0,2170,22,10,15.960392194562885,4,2,1,84
0,2171,42,44,15.279534946591475,6,1,1,98
